date,open,high,low,close,volume,trade_count,vwap,sma_20,sma_50,sma_200,ema_12,ema_20,ema_26,macd,macd_signal,macd_hist,rsi_14,stoch_k,stoch_d,williams_r,bb_mid,bb_upper,bb_lower,atr_14,atr_pct,obv,cmf_20,plus_di,minus_di,adx_14,signal,entry_flag,exit_flag,cash,shares,position,action,portfolio_value,daily_returns,drawdown
2026-03-11 04:00:00,677.58,680.08,673.34,676.33,68519802.0,957759.0,675.910612,683.6759999999999,687.3126000000001,657.8055499999999,680.910676250664,682.8906501265326,683.7567496605877,-2.846073409923747,-1.7502239338079513,-1.0958494761157958,42.752341232910425,44.55097475231726,47.523170341962384,-55.44902524768274,683.6759999999999,694.3431308231446,673.0088691768552,15.783967407902251,0.023337671562554153,328357240.0,0.1879310814951475,7.629049150626416,57.74486279439256,73.12131317311898,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-12 04:00:00,671.16,671.65,665.87,666.06,108960383.0,1415063.0,668.585818,682.3810000000001,686.8767999999999,658.2402999999999,678.6259568274849,681.2877310668628,682.445879315359,-3.8199224878741234,-2.164163644621186,-1.6557588432529373,35.69721463014855,11.728986896772014,34.515819750719125,-88.27101310322799,682.3810000000001,694.935301254873,669.8266987451271,15.403684021623523,0.023126571212238423,219396857.0,0.13931017189167422,7.2590084790779255,58.40791723443954,73.46203594284835,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-13 04:00:00,669.27,672.335,661.36,662.29,97287732.0,1307829.0,665.316763,681.432,686.3824000000001,658.596,676.1127327001795,679.4784233462092,680.9528512179251,-4.840118517745509,-2.699354619246051,-2.140763898499458,33.51102320221409,2.8774752475246035,19.719145632204654,-97.1225247524754,681.432,696.8766496952389,665.9873503047611,15.087349448650416,0.022780578671957024,122109125.0,0.15482110770402333,6.881835260789375,57.50826620894804,73.83078732665115,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-16 04:00:00,668.38,672.07,667.12,669.03,82112619.0,1100981.0,669.314934,680.796,686.1245999999999,659.0025,675.0230815155365,678.483335408475,680.0696770536343,-5.04659553809779,-3.1688028030163986,-1.8777927350813917,40.523948534607165,23.731435643564275,12.779299262620327,-76.26856435643572,680.796,697.2031247681007,664.3888752318994,14.708253059461107,0.021984444732614544,204221744.0,0.14707114239560393,6.554981115032717,54.77689957296202,74.1731993258966,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-17 04:00:00,672.39,674.44,669.7,670.79,87193712.0,916003.0,671.816194,680.193,685.877,659.4061999999999,674.371838205454,677.7506367981441,679.3822935681799,-5.0104553627259065,-3.5371333149583,-1.4733220477676063,42.237254194584615,29.524107701941038,18.71100619767667,-70.47589229805897,680.193,697.1592154697669,663.2267845302331,14.044092126642463,0.02093664504038889,291415456.0,0.09336455953095685,7.580005681287084,53.269692210721026,74.23840904309834,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-18 04:00:00,668.36,669.72,661.19,661.43,82139971.0,1106763.0,665.318191,678.95,685.3512,659.7664,672.3807861738456,676.1962904364161,678.0524940446111,-5.671707870765431,-3.9640482261197265,-1.7076596446457044,36.25566644770514,0.8749544294564194,18.043499258320608,-99.12504557054358,678.95,697.5950219121196,660.3049780878805,13.726656974739424,0.020753000279303064,209275485.0,0.043912304621204615,7.2013469742895175,55.036905115207595,74.42557804042373,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-19 04:00:00,656.97,662.98,655.17,659.8,111355978.0,1496795.0,658.43291,677.716,684.7109999999999,660.10185,670.4452806086387,674.6347389662812,676.700457448714,-6.2551768400753645,-4.4222739489108545,-1.83290289116451,35.317652978322414,13.841554559043315,14.746872230146955,-86.15844544095668,677.716,698.0135833666102,657.4184166333898,13.304038619400897,0.02016374449742482,97919507.0,0.04546258445675372,6.8993843174807985,55.961231157286164,74.68436719932495,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-20 04:00:00,656.51,656.69,644.72,648.57,163708346.0,1618173.0,650.310492,675.673,683.8908,660.3642500000001,667.0798528226942,672.1523828742545,674.6167198599204,-7.536867037226216,-5.0451925665739275,-2.4916744706522884,29.629905752670425,9.086617890016575,7.934375626172134,-90.91338210998343,675.673,699.0047313635156,652.3412686364844,13.430893003729398,0.020708470949518783,-65788839.0,-0.03393480885177217,6.346061278261122,57.03075175587013,75.06216633341201,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-23 04:00:00,658.07,662.615,653.94,655.38,134908956.0,1707102.0,658.149939,674.3225,683.2082,660.6615,665.2798754653567,670.5550130767065,673.1917776480744,-7.911902182717768,-5.618534489802696,-2.293367692915072,36.326572951238596,25.159310833136576,16.02916109406552,-74.84068916686343,674.3225,699.0992581031799,649.5457418968201,13.474757789177296,0.020560221229175894,69120117.0,-0.05301337639799773,9.014381540606534,52.78473369887268,74.75964206295627,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-24 04:00:00,651.32,657.03,649.88,653.18,96536775.0,1264748.0,653.882098,672.614,682.3904000000001,660.96215,663.4183561629941,668.9002499265439,671.709423748217,-8.29106758522289,-6.153041108886734,-2.1380264763361563,35.162421168276666,20.73021318304321,18.32538063539882,-79.2697868169568,672.614,698.3039606850274,646.9240393149727,13.02298937566463,0.019937826289330097,-27416658.0,-0.08571848903641163,8.660870277035228,52.941539665110966,74.55405272823324,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-25 04:00:00,658.67,660.89,654.24,656.82,90728937.0,1364460.0,657.397249,670.7974999999999,681.6236,661.2505500000001,662.4032244456104,667.7497499335396,670.6065034705713,-8.20327902496092,-6.563088692101571,-1.6401903328593495,38.66476362375722,31.31469979296073,25.73474126971354,-68.68530020703926,670.7974999999999,695.4918700167586,646.1031299832412,12.643490134545733,0.019249551071139324,63312279.0,-0.11512585090105472,10.464309306963047,50.63555754379587,73.92496803818612,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
2026-03-26 04:00:00,652.06,654.85,644.82,645.09,96572697.0,1437356.0,649.658077,668.587,680.65,661.4776,659.739651453978,665.5916785112977,668.7163921023808,-8.976740648402824,-7.045819083361822,-1.930921565041002,32.56084425001269,0.9575569358178175,17.667489970607285,-99.04244306418218,668.587,694.2053052152864,642.9686947847135,12.597526553506754,0.019528324037741636,-33260418.0,-0.1639916429623003,9.752311762103727,52.531470024564136,73.55063216744907,-1,False,True,99147.25518201618,0.0,0,HOLD,99147.25518201618,0.0,-0.11629771229346031
